ID,bank branch,funding type,funding classification,customer sector,installment value,cashing date,sex,age,social status,special needs,number of family members,saving loan,income,financing value
40,Jeddah,social,family,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
41,Kharj,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
42,Jeddah,social,family,private sector employee,>= 1000,2019/03,MALE,>= 30,married,No,>= 02,No,< 5000,60000
43,Jeddah,social,family,private sector employee,>= 1000,2019/03,MALE,>= 30,married,No,>= 02,No,< 5000,60000
44,Medina,project,emerging,employee of a government company,>= 1000,2019/01,MALE,< 30,married,No,< 02,No,< 5000,116000
45,Medina,social,family,employee of a government company,>= 1000,2019/01,FEMALE,>= 40,widow,No,>= 05,No,>= 7500,60000
46,Medina,social,family,employee of a government company,>= 1000,2019/01,FEMALE,>= 40,widow,No,>= 05,No,< 5000,60000
47,Medina,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 7500,60000
48,Kharj,social,renovation,employee of a government company,< 1000,2019/03,MALE,< 30,single,No,>= 05,No,>= 7500,60000
49,Kharj,social,renovation,employee of a government company,< 1000,2019/03,MALE,< 30,single,No,>= 05,No,< 5000,60000
50,Riyadh,social,marriage,government employee,< 1000,2019/03,MALE,< 30,married,No,>= 05,No,>= 5000,30000
51,Medina,social,family,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,< 5000,60000
52,Medina,social,family,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
53,Hail,social,marriage,private sector employee,>= 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
54,Hail,social,marriage,private sector employee,>= 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
55,Kharj,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
56,Taif,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,36000
57,Taif,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,>= 30,single,No,< 02,No,< 5000,152000
58,Taif,social,family,employee of a government company,>= 1000,2019/02,FEMALE,< 30,widow,No,>= 02,No,< 5000,60000
59,Taif,social,family,employee of a government company,>= 1000,2019/02,FEMALE,< 30,widow,No,>= 02,No,< 5000,60000
60,Kharj,social,family,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
61,Tabuk,social,marriage,government employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,60000
62,Tabuk,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 10,Yes,>= 10000,60000
63,Riyadh,social,family,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 05,No,>= 10000,60000
64,Hail,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
65,Jeddah,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
66,Taif,social,marriage,private sector employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,42000
67,Taif,social,marriage,private sector employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,42000
68,Taif,social,family,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 05,Yes,>= 7500,60000
69,Hail,social,marriage,government employee,< 1000,2019/02,MALE,>= 30,married,No,>= 02,Yes,>= 10000,30000
70,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 10,Yes,>= 10000,42000
71,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 10,Yes,>= 10000,42000
72,Hail,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,48000
73,Hail,social,family,private sector employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,< 5000,42000
74,Hail,social,family,private sector employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,< 5000,42000
75,Medina,social,marriage,government employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
76,Medina,social,marriage,government employee,>= 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
77,Tabuk,social,marriage,government employee,< 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 7500,54000
78,Jeddah,project,emerging,employee of a government company,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,< 5000,204000
79,Taif,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
80,Kharj,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 40,widow,No,>= 05,No,>= 10000,60000
81,Kharj,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 40,widow,No,>= 05,No,< 5000,60000
82,Hail,project,emerging,employee of a government company,>= 1000,2019/01,MALE,>= 30,single,No,< 02,No,< 5000,184000
83,Kharj,social,family,Government retired,>= 1000,2019/01,MALE,>= 60,married,No,>= 02,No,>= 10000,60000
84,Kharj,social,family,Government retired,>= 1000,2019/01,MALE,>= 60,married,No,>= 02,No,< 5000,60000
85,Hail,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,>= 40,married,No,< 02,No,< 5000,208000
86,Taif,social,marriage,government employee,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,18000
87,Kharj,social,marriage,employee of a government company,< 1000,2019/03,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
88,Jeddah,social,family,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
89,Jeddah,social,family,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
90,Riyadh,project,emerging,employee of a government company,>= 1000,2019/03,MALE,>= 30,single,No,< 02,No,< 5000,213000
91,Taif,social,family,government employee,>= 1000,2019/01,MALE,>= 40,married,No,>= 05,No,>= 10000,60000
92,Taif,social,family,Government retired,>= 1000,2019/03,MALE,>= 40,married,No,>= 05,No,>= 10000,60000
93,Taif,social,family,Government retired,>= 1000,2019/03,MALE,>= 40,married,No,>= 05,No,< 5000,60000
94,Taif,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 30,divorced,No,>= 02,Yes,>= 10000,60000
95,Taif,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 30,divorced,No,>= 02,Yes,< 5000,60000
96,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 10,No,>= 10000,42000
97,Jeddah,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,No,>= 10,No,< 5000,42000
98,Riyadh,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 7500,48000
99,Jeddah,project,emerging,employee of a government company,>= 1000,2019/03,MALE,< 30,single,No,< 02,No,< 5000,200000
100,Taif,social,family,Government retired,>= 1000,2019/01,MALE,>= 40,married,No,>= 02,No,>= 5000,60000
101,Taif,social,family,Government retired,>= 1000,2019/01,MALE,>= 40,married,No,>= 02,No,>= 10000,60000
102,Hail,social,family,employee of a government company,>= 1000,2019/02,FEMALE,< 30,divorced,No,>= 02,No,>= 7500,60000
103,Hail,social,family,employee of a government company,>= 1000,2019/02,FEMALE,< 30,divorced,No,>= 02,No,< 5000,60000
104,Jeddah,social,family,employee of a government company,< 1000,2019/01,FEMALE,>= 40,divorced,No,>= 02,No,< 5000,60000
105,Jeddah,social,family,employee of a government company,< 1000,2019/01,FEMALE,>= 40,divorced,No,>= 02,No,>= 7500,60000
106,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,< 5000,60000
107,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
108,Taif,social,family,Government retired,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,>= 7500,60000
109,Hail,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
110,Hail,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 10000,60000
111,Taif,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 60,widow,No,>= 02,No,< 5000,60000
112,Taif,social,family,employee of a government company,>= 1000,2019/02,FEMALE,>= 60,widow,No,>= 02,No,>= 5000,60000
113,Taif,social,family,Government retired,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,< 5000,60000
114,Hail,social,marriage,government employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,Yes,>= 7500,60000
115,Taif,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
116,Taif,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
117,Taif,social,marriage,government employee,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,24000
118,Hail,social,marriage,private sector employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,< 5000,60000
119,Hail,social,marriage,private sector employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
120,Hail,social,family,employee of a government company,>= 1000,2019/02,FEMALE,< 30,divorced,No,>= 02,No,< 5000,60000
121,Hail,social,family,employee of a government company,>= 1000,2019/02,FEMALE,< 30,divorced,No,>= 02,No,< 5000,60000
122,Taif,social,marriage,government employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,48000
123,Hail,social,marriage,government employee,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 10000,18000
124,Taif,project,emerging,employee of a government company,>= 1000,2019/03,FEMALE,>= 30,married,No,< 02,No,< 5000,198000
125,Hail,project,emerging,employee of a government company,>= 1000,2019/02,MALE,< 30,single,No,< 02,No,< 5000,182000
126,Taif,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
127,Taif,social,marriage,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
128,Taif,social,marriage,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
129,Hail,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 30,married,No,>= 05,No,< 5000,60000
130,Hail,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 30,married,No,>= 05,No,>= 5000,60000
131,Hail,social,marriage,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
132,Hail,social,family,employee of a government company,>= 1000,2019/01,FEMALE,>= 30,widow,No,>= 05,No,>= 10000,60000
133,Hail,social,family,employee of a government company,>= 1000,2019/01,FEMALE,>= 30,widow,No,>= 05,No,< 5000,60000
134,Jeddah,social,family,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,60000
135,Jeddah,social,family,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,< 5000,60000
136,Taif,project,emerging,employee of a government company,>= 1000,2019/03,FEMALE,< 30,single,No,< 02,No,< 5000,167000
137,Hail,social,marriage,government employee,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 5000,18000
138,Taif,social,marriage,employee of a government company,>= 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,60000
139,Taif,social,marriage,employee of a government company,>= 1000,2019/03,MALE,< 30,married,No,>= 02,No,< 5000,60000
140,Hail,social,family,government employee,>= 1000,2019/01,MALE,>= 40,married,No,>= 05,No,>= 7500,60000
141,Riyadh,social,family,private sector employee,>= 1000,2019/03,MALE,>= 40,married,No,>= 02,No,>= 5000,60000
142,Riyadh,social,family,private sector employee,>= 1000,2019/03,MALE,>= 40,married,No,>= 02,No,>= 10000,60000
143,Taif,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,< 30,married,No,< 02,No,< 5000,109000
144,Tabuk,social,renovation,employee of a government company,< 1000,2019/03,FEMALE,>= 30,married,No,< 02,No,< 5000,60000
145,Tabuk,social,renovation,employee of a government company,< 1000,2019/03,FEMALE,>= 30,married,No,< 02,No,>= 10000,60000
146,Taif,social,marriage,employee of a government company,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,< 5000,60000
147,Taif,social,marriage,employee of a government company,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
148,Hail,transfer,taxi cab,employee of a government company,>= 1000,2019/02,MALE,< 30,single,No,< 02,No,>= 7500,77360
149,Hail,transfer,taxi cab,employee of a government company,>= 1000,2019/02,MALE,< 30,single,No,< 02,No,< 5000,77360
150,Hail,project,emerging,employee of a government company,>= 1000,2019/02,FEMALE,>= 30,single,No,< 02,No,< 5000,140000
151,Hail,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
152,Taif,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,Yes,>= 02,No,>= 10000,42000
153,Taif,social,marriage,private sector employee,< 1000,2019/01,MALE,< 30,married,Yes,>= 02,No,< 5000,42000
154,Hail,social,marriage,private sector employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,< 5000,30000
155,Hail,social,marriage,private sector employee,< 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 7500,30000
156,Taif,project,emerging,employee of a government company,>= 1000,2019/02,MALE,>= 40,married,No,< 02,No,< 5000,243000
157,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
158,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
159,Taif,social,family,Government retired,>= 1000,2019/02,MALE,>= 60,married,No,>= 05,No,>= 10000,60000
160,Taif,social,family,Government retired,>= 1000,2019/02,MALE,>= 60,married,No,>= 05,No,>= 7500,60000
161,Taif,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,>= 10000,60000
162,Taif,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 40,married,No,>= 05,No,< 5000,60000
163,Hail,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,18000
164,Taif,social,family,employee of a government company,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,54000
165,Taif,social,family,employee of a government company,< 1000,2019/02,MALE,>= 30,married,No,>= 02,No,< 5000,54000
166,Hail,social,marriage,government employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,< 5000,60000
167,Hail,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
168,Hail,social,marriage,private sector employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 7500,60000
169,Hail,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,< 30,single,No,< 02,No,< 5000,172000
170,Hail,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
171,Hail,social,marriage,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
172,Hail,social,marriage,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 10000,60000
173,Hail,project,solution,employee of a government company,>= 1000,2019/02,MALE,< 30,single,No,< 02,No,< 5000,102000
174,Hail,social,marriage,government employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,30000
175,Hail,project,emerging,employee of a government company,>= 1000,2019/02,MALE,< 30,single,No,< 02,No,< 5000,115000
176,Hail,social,marriage,government employee,>= 1000,2019/01,MALE,< 30,married,Yes,>= 02,No,>= 7500,60000
177,Hail,social,marriage,government employee,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 5000,60000
178,Hail,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
179,Hail,project,emerging,employee of a government company,>= 1000,2019/01,MALE,< 30,single,No,< 02,No,< 5000,100000
180,Hail,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
181,Hail,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
182,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 10000,60000
183,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,Yes,>= 5000,60000
184,Taif,social,family,employee of a government company,>= 1000,2019/01,FEMALE,>= 40,widow,No,>= 02,No,>= 7500,60000
185,Taif,social,family,employee of a government company,>= 1000,2019/01,FEMALE,>= 40,widow,No,>= 02,No,< 5000,60000
186,Hail,project,emerging,employee of a government company,>= 1000,2019/02,FEMALE,>= 30,married,No,< 02,No,< 5000,161000
187,Hail,social,marriage,employee of a government company,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 5000,18000
188,Hail,social,marriage,employee of a government company,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,< 5000,18000
189,Hail,project,emerging,employee of a government company,>= 1000,2019/02,FEMALE,< 30,single,No,< 02,No,< 5000,191000
190,Hail,social,marriage,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,Yes,>= 10000,60000
191,Hail,social,marriage,private sector employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,Yes,>= 7500,60000
192,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
193,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
194,Hail,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
195,Hail,social,marriage,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
196,Hail,social,marriage,government employee,< 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,60000
197,Hail,social,family,employee of a government company,< 1000,2019/02,MALE,>= 30,married,No,>= 10,No,>= 10000,18000
198,Hail,social,family,employee of a government company,< 1000,2019/02,MALE,>= 30,married,No,>= 10,No,< 5000,18000
199,Hail,social,marriage,government employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
200,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
201,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
202,Hail,social,marriage,government employee,>= 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,60000
203,Hail,project,emerging,employee of a government company,>= 1000,2019/02,MALE,< 30,single,No,< 02,No,< 5000,158000
204,Hail,project,emerging,employee of a government company,>= 1000,2019/02,FEMALE,< 30,single,No,< 02,No,< 5000,165000
205,Hail,project,emerging,employee of a government company,>= 1000,2019/01,MALE,>= 30,single,No,< 02,No,< 5000,93000
206,Hail,social,family,employee of a government company,< 1000,2019/01,FEMALE,< 30,divorced,No,>= 02,No,< 5000,30000
207,Hail,social,family,employee of a government company,< 1000,2019/01,FEMALE,< 30,divorced,No,>= 02,No,>= 10000,30000
208,Taif,social,family,employee of a government company,< 1000,2019/02,FEMALE,>= 30,divorced,No,>= 02,No,>= 10000,60000
209,Taif,social,family,employee of a government company,< 1000,2019/02,FEMALE,>= 30,divorced,No,>= 02,No,< 5000,60000
210,Hail,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,>= 30,single,No,< 02,No,< 5000,138000
211,Hail,project,solution,employee of a government company,>= 1000,2019/01,MALE,>= 30,single,No,< 02,No,< 5000,174000
212,Hail,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,>= 40,married,No,< 02,No,< 5000,175000
213,Taif,social,marriage,employee of a government company,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,60000
214,Taif,social,marriage,employee of a government company,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,< 5000,60000
215,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
216,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,60000
217,Hail,project,emerging,employee of a government company,>= 1000,2019/01,FEMALE,>= 30,married,No,< 02,No,< 5000,180000
218,Hail,project,emerging,employee of a government company,>= 1000,2019/03,FEMALE,< 30,single,No,< 02,No,< 5000,138000
219,Hail,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
220,Hail,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
221,Hail,project,solution,employee of a government company,>= 1000,2019/02,FEMALE,>= 30,married,No,>= 02,No,>= 7500,164000
222,Hail,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
223,Hail,social,marriage,employee of a government company,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
224,Hail,social,marriage,private sector employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
225,Hail,social,marriage,private sector employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
226,Jeddah,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
227,Hail,social,marriage,employee of a government company,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,< 5000,60000
228,Hail,social,marriage,employee of a government company,>= 1000,2019/01,MALE,< 30,married,No,>= 02,No,>= 10000,60000
229,Hail,social,family,government employee,>= 1000,2019/02,FEMALE,>= 40,divorced,No,>= 05,No,>= 5000,60000
230,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 7500,60000
231,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 10000,60000
232,Hail,social,marriage,government employee,>= 1000,2019/02,MALE,< 30,married,No,>= 02,No,< 5000,60000
233,Hail,social,marriage,private sector employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,42000
234,Hail,social,marriage,private sector employee,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,< 5000,42000
235,Hail,social,marriage,employee of a government company,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,< 5000,60000
236,Hail,social,marriage,employee of a government company,< 1000,2019/03,MALE,< 30,married,No,>= 02,No,>= 7500,60000
237,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
238,Hail,social,marriage,private sector employee,>= 1000,2019/02,MALE,>= 30,married,No,>= 02,No,>= 7500,60000
239,Hail,social,marriage,government employee,>= 1000,2019/01,MALE,>= 30,married,No,>= 02,No,>= 5000,60000
240,Hail,project,emerging,employee of a government company,>= 1000,2019/01,MALE,>= 30,single,No,< 02,No,< 5000,180000
241,Hail,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 60,divorced,No,>= 05,No,< 5000,60000
242,Hail,social,family,employee of a government company,>= 1000,2019/02,MALE,>= 60,divorced,No,>= 05,No,>= 7500,60000
243,Tabuk,social,marriage,government employee,< 1000,2019/02,MALE,< 30,married,No,>= 02,No,>= 5000,54000
